Nombre,TipoVia,Tramo,Numero,Zona,DS,Codigo
"HUERTA TORTOSA",LUGAR,COMPLETO,0,NORTE,1_5,277
"INGENIERO JOSE BARNOLA",CALLE,COMPLETO,0,NORTE,1_5,5157
"INGENIERO JUAN CARBO",CALLE,COMPLETO,0,CENTRO,5_7,4133
"INGENIERO VARGAS MACHUCA",CALLE,COMPLETO,0,NORTE,1_15,5349
"INSTITUTO SANTI PETRI",LUGAR,COMPLETO,0,NORTE,3_8,1243
"INTENDENTE PATIÑO",CALLE,COMPLETO,0,NORTE,1_13,160
"ISAAC PERAL",CALLE,COMPLETO,0,CENTRO,"5_2,5_3",1060
"ISLA DE LEON",CALLE,COMPLETO,0,SUR,6_31,427
JABEQUE,CALLE,COMPLETO,0,SUR,6_15,2179
"JACINTO BENAVENTE",CALLE,COMPLETO,0,NORTE,1_11,159
JAEN,PLAZA,COMPLETO,0,SUR,6_14,5229
JARDINILLO,CALLE,COMPLETO,0,NORTE,3_4,130
"JAVIER MEDINA",CALLE,COMPLETO,0,NORTE,1_15,5352
JAZMIN,CALLE,COMPLETO,0,NORTE,3_7,1145
JERUSALEN,CALLE,COMPLETO,0,NORTE,1_1,5218
"JESUS DE LA MISERICORDIA",CALLE,COMPLETO,0,NORTE,2_1,83
"JESUS DE LOS AFLIGIDOS",CALLE,COMPLETO,0,NORTE,1_9,79
"JESUS NAZARENO",CALLE,COMPLETO,0,SUR,6_26,2070
JILGUERO,CALLE,COMPLETO,0,SUR,6_8,433
"JOAQUIN CRISTELLY",CALLE,COMPLETO,0,NORTE,1_6,114
"JOLY VELASCO",PASEO,COMPLETO,0,NORTE,1_14,283
"JORGE JUAN",CALLE,COMPLETO,0,NORTE,4_2,2089
"JOSE GARZON",CALLE,COMPLETO,0,SUR,6_31,1209
"JOSE GIL SANCHEZ",CALLE,COMPLETO,0,SUR,6_9,2052
"JOSE LOPEZ RODRIGUEZ",CALLE,COMPLETO,0,CENTRO,5_2,1076
"JOSE MARIA CARPIO",CALLE,COMPLETO,0,NORTE,1_6,129
"JOSE MARIA PEMAN",CALLE,COMPLETO,0,SUR,6_14,4101
"JOSE MARIA PEREDA",CALLE,COMPLETO,0,CENTRO,5_6,3113
"JOSE QUETAR",CALLE,COMPLETO,0,SUR,6_26,2086
"JOSE RAMOS BORRERO",CALLE,COMPLETO,0,SUR,"6_11,6_16,6_25",4114
"JOSE SUAREZ",PLAZA,COMPLETO,0,NORTE,"1_11,1_16",1099
